timestamp,open,high,low,close,volume,predictions
2023-03-09,1532.38,1546.45,1408.0,1437.32,718485.1364,
2023-03-10,1437.32,1439.43,1368.39,1426.44,960262.4509,
2023-03-11,1426.43,1478.07,1408.4,1471.97,1374859.6201,
2023-03-12,1471.93,1594.19,1448.3,1580.33,1002355.0929,
2023-03-13,1580.33,1693.49,1565.0,1673.45,1228063.6053,
2023-03-14,1673.44,1780.02,1655.24,1699.4,1283321.2355,
2023-03-15,1699.41,1716.9,1611.0,1649.96,963142.4833,
2023-03-16,1649.95,1691.42,1632.18,1673.73,627985.6119,
2023-03-17,1673.73,1800.0,1662.65,1789.27,907528.2825,
2023-03-18,1789.26,1841.0,1747.47,1758.84,711614.731,
2023-03-19,1758.84,1841.36,1757.92,1780.68,541131.8908,
2023-03-20,1780.67,1803.05,1722.0,1732.78,682848.1248,
2023-03-21,1732.77,1835.0,1717.01,1801.23,742348.4999,
2023-03-22,1801.23,1819.98,1710.12,1734.33,891287.6009,
2023-03-23,1734.34,1857.16,1729.35,1813.79,732061.103,
2023-03-24,1813.78,1818.99,1726.4,1749.57,564770.1417,
2023-03-25,1749.57,1763.23,1713.09,1741.88,355679.3743,
2023-03-26,1741.88,1801.0,1739.31,1773.88,354933.2372,
2023-03-27,1773.88,1780.48,1686.13,1715.22,570563.5023,
2023-03-28,1715.21,1795.73,1701.13,1772.99,536511.3973,
2023-03-29,1773.0,1827.99,1772.48,1793.07,536865.5972,
2023-03-30,1793.06,1829.69,1763.0,1793.61,579690.0394,
2023-03-31,1793.6,1847.28,1777.91,1821.52,554525.4762,
2023-04-01,1821.52,1842.83,1807.81,1820.79,272904.9674,
2023-04-02,1820.8,1824.81,1771.7,1794.51,322122.9385,
2023-04-03,1794.51,1839.99,1762.77,1810.51,628503.6619,
2023-04-04,1810.51,1891.91,1802.01,1870.37,622208.6411,
2023-04-05,1870.38,1942.98,1864.58,1908.69,548595.5155,
2023-04-06,1908.68,1909.91,1853.7,1872.41,396241.4352,
2023-04-07,1872.41,1882.61,1841.46,1863.72,284256.4873,
2023-04-08,1863.73,1879.38,1847.0,1848.82,197905.5407,
2023-04-09,1848.82,1873.99,1824.01,1858.92,287131.3079,
2023-04-10,1858.91,1918.79,1846.4,1910.2,434739.7984,
2023-04-11,1910.21,1937.37,1881.11,1889.86,405203.4892,
2023-04-12,1889.86,1933.0,1852.65,1917.39,630844.4186,
2023-04-13,1917.4,2023.0,1899.55,2012.01,676164.5188,
2023-04-14,2012.0,2128.76,2009.22,2099.99,896307.3934,
2023-04-15,2099.99,2111.85,2071.13,2090.6,321823.7851,
2023-04-16,2090.61,2141.54,2072.72,2118.67,319880.4393,
2023-04-17,2118.66,2120.51,2056.25,2074.0,426972.7071,
2023-04-18,2073.99,2125.0,2051.0,2103.5,414244.6135,
2023-04-19,2103.51,2104.6,1923.03,1933.73,775389.0602,
2023-04-20,1933.74,1982.99,1914.43,1942.98,625336.2495,
